autoc,contr,corrm,cprom,cshad,dissi,energ,entro,homom,maxpr,sosvh,savgh,svarh,senth,dvarh,denth,inf1h,inf2h,indnc,idmnc,fibro
4.085106383,0.042553191,-0.02173913,0.035762584,0.037274978,0.042553191,0.917609778,0.20547075,0.978723404,0.957446809,4.043462226,4.042553191,14.99116836,0.175975125,0.042553191,0.175975125,-0.004492436,0.030409118,0.995271868,0.999345336,0
4.243203883,0.032160194,0.688115398,0.517929552,0.275102352,0.032160194,0.86628478,0.335093545,0.983919903,0.92973301,4.1954258,4.102548544,14.53625158,0.312801797,0.032160194,0.142172837,-0.458396002,0.425064318,0.996426645,0.999505228,0
14.14027149,0.242797699,0.887998829,40.34373629,2.083553016,0.242161031,0.160222939,2.116170432,0.879025596,0.263489393,14.14847327,7.260237841,32.33461952,1.945937383,0.242797699,0.55562429,-0.521924953,0.880702209,0.973100293,0.996265515,0
21.42849479,0.265307551,0.738325133,8.644405678,-0.155067784,0.264654428,0.239198467,1.762434072,0.867781639,0.380490308,21.4180025,9.176972779,59.52813722,1.57659911,0.265307551,0.580048348,-0.361315893,0.735057972,0.970601209,0.995919232,0
33.0897927,0.279292474,0.778114473,12.77214092,-0.782517423,0.278691603,0.209066079,1.892642086,0.860754344,0.363452005,33.05125659,11.41929548,96.75633376,1.697249412,0.279292474,0.593780124,-0.390897141,0.775437378,0.969040943,0.995704008,1
12.39373012,0.329622899,0.667888913,7.79027972,0.129729992,0.32544298,0.216267231,1.840980901,0.837975163,0.316068454,12.45025195,6.946160836,30.20708038,1.602782939,0.329622899,0.641991013,-0.275004825,0.666335075,0.963886112,0.994934553,0
8.554503967,0.307343256,0.727543914,11.6213597,1.70998788,0.303505679,0.209145319,1.826253517,0.848860827,0.338640253,8.619238608,5.70759218,18.77158493,1.606027321,0.307343256,0.623239026,-0.326982553,0.714318977,0.966319158,0.995277581,0
13.48962804,0.319265618,0.826424281,32.31549033,3.149849161,0.314775076,0.163812742,2.139757085,0.843360886,0.300429185,13.53800952,7.135709744,30.68492427,1.908329899,0.319265618,0.634429432,-0.412252139,0.81903753,0.965074887,0.995094317,0
17.56321328,0.311501412,0.85283353,33.55358605,2.943526813,0.305543735,0.149038215,2.167640712,0.848221079,0.233239197,17.59165362,8.163487949,42.6649818,1.939087354,0.311501412,0.629750527,-0.442049819,0.841268162,0.966116893,0.995215758,0
14.81453908,0.322334136,0.840158559,34.73200763,2.814965394,0.317779724,0.151458491,2.193166722,0.841852784,0.268184804,14.85915966,7.474600394,34.1214849,1.960015598,0.322334136,0.636625365,-0.426739158,0.834091771,0.964741348,0.995047657,0
11.56450989,0.324349249,0.789174275,26.23517459,3.393182767,0.311735832,0.198621006,2.017025502,0.845760325,0.378253756,11.62348479,6.620407556,26.15310561,1.782999882,0.324349249,0.637465508,-0.380047471,0.782218685,0.965489687,0.99504486,0
12.93179844,0.331388854,0.774748195,20.5189241,2.192212967,0.324934839,0.187702777,2.035272486,0.838523437,0.34289024,12.9878636,7.031897729,30.03703034,1.794910675,0.331388854,0.644478474,-0.358986084,0.767812506,0.963965667,0.994913161,0
9.624303758,0.316486232,0.642720094,5.518414655,0.06991695,0.313465914,0.235874316,1.746351229,0.84377043,0.421099082,9.687288457,6.112163646,22.54617195,1.519668124,0.316486232,0.630213193,-0.261671245,0.639447193,0.965204013,0.995135081,0
20.87735965,0.326656357,0.693784494,9.053991806,0.491198152,0.320126666,0.212061103,1.875948524,0.840950078,0.319733903,20.89941635,9.056999779,56.84329662,1.638344465,0.326656357,0.641168052,-0.297519202,0.693472837,0.964501038,0.994985667,0
19.85357016,0.344392301,0.528219425,3.594174553,0.257309201,0.33857075,0.246949929,1.660711656,0.831684884,0.3708566,19.88744647,8.868094333,56.746758,1.409462945,0.344392301,0.654832254,-0.180053297,0.529215048,0.962445712,0.994709559,0
21.39141897,0.31228473,0.60941483,5.321109882,0.296571371,0.305055917,0.253009847,1.680894136,0.848644952,0.379682783,21.40409694,9.1973466,61.26544682,1.452756832,0.31228473,0.631178349,-0.240196142,0.606622522,0.966184445,0.995206329,0
19.21789248,0.279812302,0.664253135,5.021894942,0.14048814,0.27787412,0.260815851,1.672444257,0.86138597,0.406457207,19.22203849,8.704274202,53.67565167,1.473184462,0.279812302,0.596454098,-0.293320755,0.661229255,0.969146633,0.995697826,0
6.609343936,0.090497829,0.87346232,4.545585138,1.080913092,0.090294965,0.393192964,1.178323702,0.954881257,0.510914107,6.576418789,5.018764961,16.57685809,1.115306718,0.090497829,0.303576177,-0.624571726,0.810578889,0.989969357,0.998608144,0
5.363636364,0,1,1.285158118,0.721262209,0,0.603305785,0.585952618,1,0.727272727,5.292857777,4.545454545,16.47104394,0.585952618,0,-2.22E-16,-1,0.830797098,1,1,0
32.66275191,0.212622549,0.683018896,3.73137534,-0.393059522,0.211601307,0.344205411,1.442401596,0.894352533,0.526892702,32.59133678,11.39011438,103.0825814,1.292904031,0.212622549,0.518411713,-0.338441662,0.66659036,0.976499678,0.996730749,1
24.08488886,0.271552253,0.751167415,8.824406623,0.593877038,0.266455852,0.216747294,1.788840255,0.86751095,0.354322731,24.06885608,9.731395063,68.11461158,1.594838436,0.271552253,0.58903624,-0.372840799,0.747976912,0.970447568,0.995832751,0
22.95933944,0.304329725,0.79521346,14.97523004,0.273699541,0.298547507,0.175284104,1.981691863,0.851619407,0.270792858,22.9639506,9.459061893,61.93160227,1.760765544,0.304329725,0.621960288,-0.391257644,0.786515328,0.966890526,0.995328007,0
31.03845061,0.210808397,0.750730789,6.059282281,-1.415344924,0.208372244,0.337433075,1.48350916,0.896219903,0.524706647,30.97089104,11.08530594,96.60456797,1.332154402,0.210808397,0.517632425,-0.396610722,0.721092189,0.976874597,0.996760101,1
28.97719859,0.332887526,0.733878761,12.44196542,-0.652672479,0.328907881,0.187235312,1.968997465,0.836209334,0.287284708,28.97700389,10.68048669,82.29904737,1.728941492,0.332887526,0.644109698,-0.324548488,0.730514337,0.963498898,0.994884056,0
27.8646183,0.23421765,0.759027487,6.327010931,-0.814691936,0.23362209,0.246846639,1.63451744,0.883288215,0.342744992,27.81810757,10.48727666,83.01641331,1.470254191,0.23421765,0.545543993,-0.390294702,0.739826596,0.974048607,0.99639746,1
30.07979871,0.323897676,0.650262366,6.591138807,-0.380649799,0.320093458,0.224480221,1.786405533,0.840583563,0.328690391,30.07146089,10.91397076,89.15421674,1.553101035,0.323897676,0.63707856,-0.263903928,0.647346256,0.964476239,0.995022228,1
12.26592289,0.318457845,0.72471055,9.881476899,-0.095772415,0.31459775,0.203377282,1.906899172,0.843340551,0.3104709,12.31783626,6.883820553,29.10316519,1.677286084,0.318457845,0.632905523,-0.326786889,0.724704307,0.965087489,0.995105999,0
24.00445074,0.335550837,0.673945451,8.030204154,0.599371829,0.330958559,0.207274235,1.858860615,0.8352861,0.363214595,24.02047297,9.72782889,67.52619728,1.615893337,0.335550837,0.646913012,-0.278047098,0.671831237,0.963277852,0.994843913,0
19.19257316,0.32942828,0.613397294,5.036300373,-0.074900303,0.322542908,0.235995703,1.746408512,0.839846862,0.373548139,19.22156258,8.702007119,53.17239056,1.504952336,0.32942828,0.644732867,-0.23659669,0.611672099,0.964237694,0.994942042,0
20.1198578,0.258201058,0.73012881,8.032442733,0.759716583,0.25707672,0.255847004,1.710801346,0.871644896,0.409937169,20.1102521,8.892824074,55.88425838,1.528793512,0.258201058,0.573271176,-0.352771683,0.720711817,0.971448312,0.996029319,0
39.02353832,0.22870981,0.824726166,16.43689233,-2.499424048,0.227573912,0.23787823,1.775318877,0.88640236,0.342409996,38.94427284,12.40732969,118.8832408,1.613710844,0.22870981,0.539602876,-0.453673339,0.80445666,0.974726631,0.996482929,1
30.16054254,0.299118126,0.692529403,7.415727717,-0.402696079,0.295986836,0.23019261,1.785737573,0.852528464,0.342844362,30.13968617,10.92221299,89.08773576,1.571213896,0.299118126,0.615823331,-0.304375896,0.687960207,0.967147366,0.995402433,1
10.43406434,0.275825582,0.717520717,7.829724725,0.314888519,0.274460278,0.244702966,1.756280417,0.862997412,0.426589299,10.47298712,6.350985579,24.61414213,1.561718724,0.275825582,0.591753733,-0.336246475,0.712953689,0.969519584,0.995758383,0
25.9472237,0.250680396,0.64682335,4.474790347,0.082520837,0.246612048,0.325508533,1.535870335,0.877284354,0.534272327,25.91433119,10.14251845,78.30783564,1.359640736,0.250680396,0.565740465,-0.293206547,0.640337895,0.97264174,0.996151366,1
8.664859038,0.137114428,0.807054794,5.140205209,0.159563104,0.136616915,0.384552794,1.33651367,0.931757877,0.578059701,8.643207449,5.788988391,21.96760251,1.241083541,0.137114428,0.399453841,-0.509586385,0.773986974,0.984825469,0.997891689,0
6.945473854,0.309562681,0.560058394,2.872569298,0.45452074,0.306202349,0.258380107,1.55979508,0.847450956,0.339647165,7.01931888,5.195549145,15.97646454,1.338252507,0.309562681,0.62491135,-0.206764227,0.549646717,0.966014662,0.995242282,0
3.984790875,0.007604563,-0.003816794,0.007375874,-0.007431954,0.007604563,0.984877619,0.049949369,0.996197719,0.992395437,3.926456118,3.992395437,15.59201742,0.044678288,0.007604563,0.044678288,-0.000580922,0.005387457,0.999155049,0.999883007,0
9.141778681,0.305939356,0.729356845,12.28650231,1.632720687,0.303219756,0.217285013,1.840520163,0.848843389,0.387105345,9.202661888,5.909159112,20.3353644,1.621913874,0.305939356,0.621135234,-0.329112843,0.718122491,0.966339134,0.995296932,0
16.21564614,0.31485515,0.715103541,10.06966156,-0.722668088,0.311579844,0.212984498,1.873753089,0.844755962,0.386158558,16.24902102,7.954997298,41.68073721,1.647439964,0.31485515,0.629274135,-0.32319152,0.717193828,0.96541641,0.995160521,0
12.50560283,0.252832411,0.641363807,3.732609877,0.871522751,0.251809488,0.293104112,1.478973128,0.87423862,0.434199718,12.52275643,7.008431363,33.71601187,1.302392604,0.252832411,0.566350812,-0.281676749,0.6198632,0.972031876,0.996112422,0
